"nombrePropio","nombreComun","latitud","id","lugarDePlantacion","nombreCientifico","estado","longitud","riegos","id_monitores","altura_monitores","fotografia_monitores","timestamp_monitores","sanidad_monitores"
"Lalo","Laurel",-17.442809801953004,"BGplWw3G0wewduhJbU32","Acera","Cordia sebestena","vivo",-66.15427237004042,"[{""id"":""8QdgokLnw1czMVaGky64"",""timestamp"":{""seconds"":1659361411,""nanoseconds"":421000000}},{""id"":""RQwZx1yvDNBoaectz4Jd"",""timestamp"":{""seconds"":1659536357,""nanoseconds"":750000000}},{""id"":""y2spx8Dz3ZstbPqIWjxy"",""timestamp"":{""seconds"":1662861409,""nanoseconds"":561000000}},{""id"":""O0XY49WRzNbmVMid04R5"",""timestamp"":{""seconds"":1663198133,""nanoseconds"":214000000}},{""id"":""8BR6DUReJWlCSBzt5Nsk"",""timestamp"":{""seconds"":1665012774,""nanoseconds"":963000000}},{""id"":""axhb3KhBxtQnGtNgtGer"",""timestamp"":{""seconds"":1666461411,""nanoseconds"":71000000}},{""id"":""7Z9E69YtnNIOwTgwl2Ku"",""timestamp"":{""seconds"":1667354414,""nanoseconds"":413000000}},{""id"":""JRkAfNVDfTxP6Fxn0UVW"",""timestamp"":{""seconds"":1667911748,""nanoseconds"":117000000}},{""id"":""mscuPsugTpoeMutmCGER"",""timestamp"":{""seconds"":1670671641,""nanoseconds"":361000000}},{""id"":""uEf7G6RylGTFqLGclwzt"",""timestamp"":{""seconds"":1671059129,""nanoseconds"":974000000}},{""id"":""jIwKLlTyxaqSB2BmwryE"",""timestamp"":{""seconds"":1671585524,""nanoseconds"":362000000}}]","CLDsOzgCUzzEeTFy0VOm",1.6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220731_162508_45614.jpg?alt=media&token=93ff0563-9797-4488-b61a-ae64b040f860","2022-08-01 09:19:17","Sano, vigoroso"
"molle","molle",-17.583612859165534,"uzempaFeHhmQYBDUu9EU","Área verde","molle","vivo",-66.00724138319492,"[{""id"":""OGNyTqoYolWE9SqP7crU"",""timestamp"":{""seconds"":1660481023,""nanoseconds"":996000000}},{""id"":""Hsj9eW5FItHC68gdpU0F"",""timestamp"":{""seconds"":1668344730,""nanoseconds"":132000000}}]","mPjwNqDj0qcCAEuRoaAw",0.4,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220814_084206_12162.jpg?alt=media&token=7a7f0b4f-51cc-4f6d-8a99-d6790389a78b","2022-08-14 08:43:43","Sano, vigoroso"
"Arb 1","Tulipam",-17.52405696622007,"PfudxE2aN93MUhSPwUaE","Colegio ","Markhamia stipulata ","vivo",-65.965629927814,"[{""id"":""JKPejy91sFzDuZf5pcDn"",""timestamp"":{""seconds"":1660744029,""nanoseconds"":229000000}}]","rgDdF4SA8WpvqfJHu4k6",1,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_094204_2071323206025595265.jpg?alt=media&token=3ee6aa7b-7105-4823-9e68-da4caf1901f1","2022-08-17 09:47:09","Estrés hidrico "
"Arb 2","Tulipam",-17.524190287812218,"4ExVarBARxEj1C6ssGCJ","Colegio ","Markhamia stipulata","vivo",-65.9656010940671,"[{""id"":""wHcw0WoucCJldnCmO9NQ"",""timestamp"":{""seconds"":1660744162,""nanoseconds"":182000000}}]","pFmO9A4uH0sETxKllgi3",1,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_094820_2869757748486696043.jpg?alt=media&token=a581bbee-64b2-48b1-bf86-8698a3fae023","2022-08-17 09:49:22","Estrés hídrico "
"Arb 3","Tulipan ",-17.52432904447316,"0qDOcGwFaUxUcx9ZoRyu","Colegio ","Markhamia stipulata","vivo",-65.96557728946209,"[{""id"":""KptJaFVkpGGC7IPr6T2r"",""timestamp"":{""seconds"":1660744238,""nanoseconds"":177000000}}]","hj8ozAjYGZzJc4FiJwee",1,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_094952_2627954558632415292.jpg?alt=media&token=4e801e27-d77e-4808-8aec-d67bc29b4ffc","2022-08-17 09:50:38","Estrés hídrico "
"Arb 4","Tulipan ",-17.52444478151472,"v4HHTnSolPHnwmZBMVlb","Colegio ","Markhamia stipulata","vivo",-65.96557963639498,"[{""id"":""2zQEhghymsFyytecu843"",""timestamp"":{""seconds"":1660744367,""nanoseconds"":30000000}}]","uOyvkUNJ8pDqTG9733Ed",0.7,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_095104_3184925922661409376.jpg?alt=media&token=5a7e135c-e27f-4aa4-8a47-48b781bd4f28","2022-08-17 09:52:47","Estrés hidrico "
"Arb 5","Tulipan",-17.52455923962135,"ZeairbbjHNPGH28vdHZp","Colegio ","Markhamia stipulata","vivo",-65.96558634191751,"[{""id"":""ofbQjNvTKC75gktWTkBF"",""timestamp"":{""seconds"":1660744440,""nanoseconds"":518000000}}]","JV3PbkdxgrnPU11GDoDu",0.7,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_095255_6960428110656997953.jpg?alt=media&token=2a0e19ea-f17b-40d2-974f-3f200630c110","2022-08-17 09:54:00","Estrés hidrico"
"Arb 6","tulipán",-17.524786876758455,"hXgIcgWrFPweW4ydHXns","colegio","Markhamia stipulata","vivo",-65.96555314958096,"[{""id"":""W3fI95HyzlQerQ3z6Usj"",""timestamp"":{""seconds"":1660744587,""nanoseconds"":100000000}}]","i6bqPTtn8GNLaSSR5Qtt",0.9,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_095534_1737462122322963279.jpg?alt=media&token=f511991d-617d-4818-80c8-070ee3a189ce","2022-08-17 09:56:27","estrés hídrico"
"Arb 7","tulipán",-17.52480637936506,"FEGJM9mBkSNBokFRYIiX","colegio","Markhamia stipulata","vivo",-65.96584517508745,"[{""id"":""FbHcT4MZTMt6OhDmdgbo"",""timestamp"":{""seconds"":1660744666,""nanoseconds"":502000000}}]","ZMJh1RkUR8ip6qR6IVks",0.65,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_095653_1197154009432179204.jpg?alt=media&token=e96b8589-1cc4-4175-89ff-3238c6a8d8d0","2022-08-17 09:57:46","estrés hídrico"
"Arb 7","tulipán",-17.52479550906001,"cBCOegDgHPZhbUFJlNtW","Mira es tu colegio","Markhamia stipulata","vivo",-65.96601851284504,"[{""id"":""3UC58mvjuFgUyWyTQrqU"",""timestamp"":{""seconds"":1660744811,""nanoseconds"":698000000}}]","nDWJpBNHmcrz6E7gI0Ft",0.6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_095757_415409257270296602.jpg?alt=media&token=41455462-d24a-42b7-92fa-404876e25530","2022-08-17 10:00:11","estrés hídrico"
"Arb 9","tulipán",-17.524793590770805,"PAd1Lkvg91uYNjnLqg21","colegio","el 9 ya el frío","vivo",-65.966237783432,"[{""id"":""JX2Gsd1fa1ko2eNGqPQ4"",""timestamp"":{""seconds"":1660745086,""nanoseconds"":88000000}}]","VnSzlm8KMTsHjhcf9tcb",1,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_100426_4955744769992316302.jpg?alt=media&token=4d9c464a-1240-4e1f-b723-07b8a259a87f","2022-08-17 10:04:46","estrés hídrico"
"Arb 10","Guayaba",-17.526134469971847,"Aqn7HMG9iLYo1WBv6hkr","colegio","Psidium guajava","vivo",-65.9660617634654,"[{""id"":""xI93iRE66Pqzb91fIzFh"",""timestamp"":{""seconds"":1660745790,""nanoseconds"":511000000}}]","xNU8T0qdLQuDnl9vF0WY",1,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_101430_7919454434001348788.jpg?alt=media&token=ab4092fd-253c-4102-af50-6afd83089191","2022-08-17 10:16:30","Muerto "
"Arb 11","guayaba",-17.52612455888392,"2k97HWW7xiuKw3boUliq","colegio","Psidium guajava","vivo",-65.9661653637886,"[{""id"":""GwTOUNmmpwtm7m7PKsMF"",""timestamp"":{""seconds"":1660745866,""nanoseconds"":965000000}}]","7yw9JW8kwPK8HoDp9D7M",1.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_101640_2278977899163629253.jpg?alt=media&token=b772c044-c42f-4829-88ac-ec7eb464b2e2","2022-08-17 10:17:46","estrés hídrico"
"Arb 12","Durazno",-17.526122640608776,"VL5CfLynhUIsX808nKMt","colegio","Prunus persica","vivo",-65.96627835184336,"[{""id"":""DfM0zpZ71DhlzMJsuaoa"",""timestamp"":{""seconds"":1660746115,""nanoseconds"":4000000}}]","DFMh8eK2JApZc9CtgaGe",1.6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_102014_3758723191800583435.jpg?alt=media&token=18b61ba8-559b-4b99-a4b5-a86b44d19c35","2022-08-17 10:21:55","Sano, vigoroso"
"Arb 13","durazno",-17.52609066935337,"0cCCYb13rE3qH5BaPScr","colegio","Prunus persica","vivo",-65.96638329327106,"[{""id"":""1FS9uByGvZ957DCoIlpF"",""timestamp"":{""seconds"":1660746217,""nanoseconds"":431000000}},{""id"":""L4PVjxHl9MbqHijJfZP9"",""timestamp"":{""seconds"":1675473768,""nanoseconds"":289000000}}]","bt6BSKmpeFndVvUkhfY9",1.4,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_102216_7228418179658421931.jpg?alt=media&token=01e80936-da6a-46a3-a6f6-130542dbeb71","2022-08-17 10:23:37","Sano, vigoroso"
"Arb 14","gracias",-17.52609962130544,"LoXTfiaW01WErpn6sy8C","colegio","Prunus persica","vivo",-65.96644196659327,"[{""id"":""SXJbgWeot2jXBfJtgMDV"",""timestamp"":{""seconds"":1660746300,""nanoseconds"":778000000}}]","adY1va89rVkt2KL3XikE",1.2,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_102350_4842174227266943886.jpg?alt=media&token=72d0683f-0167-4dbc-acbc-fee968fb47e0","2022-08-17 10:25:00","Sano, vigoroso"
"Arb 15 ","durazno",-17.526105695844116,"cDyF8h0NHKJyWVGjmVOA","colegio","Prunus persica","vivo",-65.96648421138525,"[{""id"":""i6MyD7ESQEm7MsBvbCq7"",""timestamp"":{""seconds"":1660746363,""nanoseconds"":769000000}}]","tggbEwgVadQgSbUMHYj9",0.4,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_102509_8076694261363600094.jpg?alt=media&token=0aaf41db-28e0-4d87-8a42-950208f7588e","2022-08-17 10:26:03","Sano, vigoroso"
"Arb 16","Limón",-17.52615141473382,"nEDwXMitBsaW7e7n61AM","colegio","Citrus limon","vivo",-65.96649494022131,"[{""id"":""5386Q9NeA1RCLB2VU3g4"",""timestamp"":{""seconds"":1660746438,""nanoseconds"":134000000}}]","P1FkhBuyQ15l2kglCLNd",0.3,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_102612_2122295582392042335.jpg?alt=media&token=db4d33ae-816c-4814-9fb6-6d3f4dd18494","2022-08-17 10:27:18","estrés hídrico "
"Arb 17 ","Limón",-17.526159727257994,"wup7qjXowv9O686XS9aJ","colegio","Citrus limon","vivo",-65.96653182059526,"[{""id"":""fTtE8jqDsqVo7GAzQ2V1"",""timestamp"":{""seconds"":1660746545,""nanoseconds"":571000000}}]","JGmmw6OMJyw9mgY0QtxE",1.4,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_102805_8191607934321670144.jpg?alt=media&token=aac9493f-9e3e-4d7e-a3c2-514b170578f0","2022-08-17 10:29:05","Sano, vigoroso"
"Acacia","Acacia",-17.37564625327904,"Jfuvx37MANHjpJkDJ3qC","Maceta ","","vivo",-66.17857988923788,"[{""id"":""xqRu2mddwj771kPOMXOh"",""timestamp"":{""seconds"":1661103543,""nanoseconds"":645000000}},{""id"":""3gfS3PCdAgpmTryJzmrX"",""timestamp"":{""seconds"":1661357453,""nanoseconds"":850000000}},{""id"":""yFAQEvrgI2mEHNYl1B90"",""timestamp"":{""seconds"":1661617380,""nanoseconds"":596000000}},{""id"":""WsIOqoe6WRrvyP0VMTPN"",""timestamp"":{""seconds"":1661909887,""nanoseconds"":391000000}},{""id"":""lLtuvnIUAK7ESxvzbwoC"",""timestamp"":{""seconds"":1662144272,""nanoseconds"":31000000}},{""id"":""sUbVp5cQUgBIGJqHrMgn"",""timestamp"":{""seconds"":1662402124,""nanoseconds"":133000000}},{""id"":""GP6QfytnmO0STIlXlbdb"",""timestamp"":{""seconds"":1662654442,""nanoseconds"":547000000}},{""id"":""8NXkCzl5o58lyiKh4snF"",""timestamp"":{""seconds"":1663527717,""nanoseconds"":179000000}},{""id"":""kah2rLjRGXdL8k9EMwbz"",""timestamp"":{""seconds"":1663948846,""nanoseconds"":402000000}},{""id"":""G6jC5eAkX4FP416PHWQz"",""timestamp"":{""seconds"":1664208761,""nanoseconds"":172000000}},{""id"":""UMmOapaBZaoK7YsTRhjh"",""timestamp"":{""seconds"":1665878879,""nanoseconds"":511000000}},{""id"":""bWsrGS7jhzycfKGB2a33"",""timestamp"":{""seconds"":1666975333,""nanoseconds"":48000000}},{""id"":""hu15FLut5EFE7ae0izAP"",""timestamp"":{""seconds"":1667233037,""nanoseconds"":6000000}},{""id"":""AmzQV1Vrcyf7VXh9VDHL"",""timestamp"":{""seconds"":1674505548,""nanoseconds"":791000000}}]","vYkvXe8eTIXTaOyr7IWs",0.3,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220821_133710_2523305922848966552.jpg?alt=media&token=b6cdd878-1570-4304-9c28-d209538dec53","2022-08-21 13:39:03","Sano, vigoroso"
"Molle 1 ","Molle Parque Los Incas",-17.406198906968378,"75aVABSZPnqdHLniRXLY","Parque","Schinus molle","vivo",-66.16603452712297,"[{""id"":""GYDvbj07O8ea9zWfqM0w"",""timestamp"":{""seconds"":1663246415,""nanoseconds"":662000000}}]","aJSnf60JUzWA46KSTX44",0.3,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220915_085158_326534.jpg?alt=media&token=6487c976-a170-4f0b-8bde-cb7bf7bd7805","2022-09-15 08:53:35","Sano, vigoroso"
"Paqui","Pacay",-17.448040061301164,"KuxwMVNZFrwtG4ZZj9WQ","Área verde","Inga edulis (ynga) (Vell.) J.W. Moore.","vivo",-66.1361701413989,"[{""id"":""IrJllW3DPFPLe89Vi835"",""timestamp"":{""seconds"":1663256279,""nanoseconds"":653000000}},{""id"":""2uGWTq34wpKSDI1IgBXE"",""timestamp"":{""seconds"":1675473768,""nanoseconds"":413000000}}]","lxxhlHOIy8uXAS8rMNGP",6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220915_113550_477277460203734351.jpg?alt=media&token=46840a15-15b7-4d5c-936d-eb390aa6c978","2022-09-15 11:37:59","Sano, vigoroso"
"Tipu","Tipuana",-17.448032065055383,"qhh3ezbLjJn9WZqkMlBU","Área verde","Tipuana tipu (Benth.) Kuntze.","vivo",-66.13578725606203,"[{""id"":""ptDmbwm1pNhHyUAAV0N0"",""timestamp"":{""seconds"":1663256751,""nanoseconds"":842000000}},{""id"":""Ywc4LBV5eDNcFLl82umd"",""timestamp"":{""seconds"":1672345766,""nanoseconds"":372000000}},{""id"":""fHoCe1IbbnQLwnA6z4C8"",""timestamp"":{""seconds"":1675473768,""nanoseconds"":385000000}}]","LMLhC4IM7OWXUdjjaNOK",15,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220915_114424_117182.jpg?alt=media&token=3251199c-b639-488a-8607-b13de4ab1075","2022-09-15 11:45:51","Sano, vigoroso"
"Casuarina glauca sieber","Casuarina",-17.447994642620465,"z2GTYmt4kZGBI0geMl2Z","Área verde","...","vivo",-66.13573126494884,"[{""id"":""R1Rk4Rj1awMjU734wz8P"",""timestamp"":{""seconds"":1663257047,""nanoseconds"":331000000}}]","0Si0PDFW2rn3i7ZQPGeL",18,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220915_114605_2488785580235224809.jpg?alt=media&token=0ece853a-53cc-424e-b695-5d6bb7d25f10","2022-09-15 11:50:47","Sano, vigoroso"
"jack","Jacaranda Blanco",-17.447931312328482,"rLc9ZO706p7UnSeY8D0H","Área verde","Jacarandá mimosifolia D. Don","vivo",-66.13575339317322,"[{""id"":""l2NWeDGxGcGvEfi1zsKb"",""timestamp"":{""seconds"":1663257219,""nanoseconds"":159000000}},{""id"":""CEb0BDNfOvQRhPSgM7RV"",""timestamp"":{""seconds"":1675473768,""nanoseconds"":372000000}}]","Nwo6UK4VkXWX8s92JM1T",7,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220915_115109_7391672990242752814.jpg?alt=media&token=78dc3e02-9d05-4a87-b7b5-6b4c32905a8b","2022-09-15 11:53:39","Sano, vigoroso"
"Brachichito","Brachichiton populneum",-17.447689505556756,"eVZDxjf04Z6MVvmUqMuD","","...","vivo",-66.13598104566336,"[{""id"":""rKVV3d86NJdpyvBQ9EQ6"",""timestamp"":{""seconds"":1663257546,""nanoseconds"":997000000}},{""id"":""6ayjZ1G5Jgm83lhPeLqd"",""timestamp"":{""seconds"":1675473768,""nanoseconds"":433000000}}]","pVCw8v0W0kphvb3PJfvT",10,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220915_115807_4826846943754161546.jpg?alt=media&token=e2606ca0-14d3-41bc-8c9f-ea6cc37c5ea3","2022-09-15 11:59:06","Sano, vigoroso"
"Cipresote","Cipres comun",-17.447687586454105,"lMSs0NLoxm6epWXkF1zb","Área verde","Cupressus sempervirens L.","vivo",-66.13623887300491,"[{""id"":""dxr5e9qFd1L3oqgTUxpp"",""timestamp"":{""seconds"":1663258530,""nanoseconds"":698000000}},{""id"":""aKCw9llg2fkU8BcU82DR"",""timestamp"":{""seconds"":1675473768,""nanoseconds"":423000000}}]","KqFu1pGS80vbZ99csMSj",20,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220915_120358_117189.jpg?alt=media&token=d4580d56-8ddb-4e0d-8024-1029489e64c0","2022-09-15 12:15:30","Sano, vigoroso"
"hhh","uuy",-17.40833918032372,"16yGlXAy1Dj5g5z7qaYB","Acera","...","vivo",-66.14987187087536,"[{""id"":""ot4sEcdw2zXrEeAuK7Rq"",""timestamp"":{""seconds"":1665919273,""nanoseconds"":659000000}},{""id"":""K4a4Ih7NbURstYgBleIQ"",""timestamp"":{""seconds"":1668344892,""nanoseconds"":246000000}}]","0qNQtkspxsHquqbSWAjJ",6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20221016_072046_1423295212324516502.jpg?alt=media&token=c7a064fc-1c57-4cfd-b7cb-68c9d8e57e69","2022-10-16 07:21:13","Sano, vigoroso"
"chillijchi","chili",-17.32238929335841,"tRYXg21XfSD2SPkHTycS","area","Erythrina falcata Benth.","vivo",-66.1966110393405,"[{""id"":""EoLKTg6hAp2KIrk95n3S"",""timestamp"":{""seconds"":1669562364,""nanoseconds"":436000000}}]","aTVK8Lk5tdnDLRyv6vdq",0.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20221127_111835_8330839741234684930.jpg?alt=media&token=cdf6ef41-03b7-4bdd-9d0f-6e4716b737ba","2022-11-27 11:19:24","Sano, vigoroso"
