"nombrePropio","nombreComun","latitud","id","lugarDePlantacion","nombreCientifico","estado","longitud","riegos","id_monitores","altura_monitores","fotografia_monitores","timestamp_monitores","sanidad_monitores","fechaMonitoreo","id_riegos_0","timestamp_riegos_0","id_riegos_1","timestamp_riegos_1","id_riegos_2","timestamp_riegos_2","id_riegos_3","timestamp_riegos_3","id_riegos_4","timestamp_riegos_4","id_riegos_5","timestamp_riegos_5","id_riegos_6","timestamp_riegos_6","id_riegos_7","timestamp_riegos_7","id_riegos_8","timestamp_riegos_8","id_riegos_9","timestamp_riegos_9","id_riegos_10","timestamp_riegos_10","id_riegos_11","timestamp_riegos_11","id_riegos_12","timestamp_riegos_12","id_riegos_13","timestamp_riegos_13"
"Arb 9","tulipán",-17.524793590770805,"PAd1Lkvg91uYNjnLqg21","colegio","el 9 ya el frío","vivo",-65.966237783432,"[{""id"":""JX2Gsd1fa1ko2eNGqPQ4"",""timestamp"":{""seconds"":1660745086,""nanoseconds"":88000000}}]","VnSzlm8KMTsHjhcf9tcb",1,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_100426_4955744769992316302.jpg?alt=media&token=4d9c464a-1240-4e1f-b723-07b8a259a87f","2022-08-17 10:04:46","estrés hídrico","2022-08-17T14:04:46.000Z","JX2Gsd1fa1ko2eNGqPQ4","{""seconds"":1660745086,""nanoseconds"":88000000}",,,,,,,,,,,,,,,,,,,,,,,,,,
"Arb 10","Guayaba",-17.526134469971847,"Aqn7HMG9iLYo1WBv6hkr","colegio","Psidium guajava","vivo",-65.9660617634654,"[{""id"":""xI93iRE66Pqzb91fIzFh"",""timestamp"":{""seconds"":1660745790,""nanoseconds"":511000000}}]","xNU8T0qdLQuDnl9vF0WY",1,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_101430_7919454434001348788.jpg?alt=media&token=ab4092fd-253c-4102-af50-6afd83089191","2022-08-17 10:16:30","Muerto ","2022-08-17T14:16:30.000Z","xI93iRE66Pqzb91fIzFh","{""seconds"":1660745790,""nanoseconds"":511000000}",,,,,,,,,,,,,,,,,,,,,,,,,,
"Arb 11","guayaba",-17.52612455888392,"2k97HWW7xiuKw3boUliq","colegio","Psidium guajava","vivo",-65.9661653637886,"[{""id"":""GwTOUNmmpwtm7m7PKsMF"",""timestamp"":{""seconds"":1660745866,""nanoseconds"":965000000}}]","7yw9JW8kwPK8HoDp9D7M",1.5,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_101640_2278977899163629253.jpg?alt=media&token=b772c044-c42f-4829-88ac-ec7eb464b2e2","2022-08-17 10:17:46","estrés hídrico","2022-08-17T14:17:46.000Z","GwTOUNmmpwtm7m7PKsMF","{""seconds"":1660745866,""nanoseconds"":965000000}",,,,,,,,,,,,,,,,,,,,,,,,,,
"Arb 12","Durazno",-17.526122640608776,"VL5CfLynhUIsX808nKMt","colegio","Prunus persica","vivo",-65.96627835184336,"[{""id"":""DfM0zpZ71DhlzMJsuaoa"",""timestamp"":{""seconds"":1660746115,""nanoseconds"":4000000}}]","DFMh8eK2JApZc9CtgaGe",1.6,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_102014_3758723191800583435.jpg?alt=media&token=18b61ba8-559b-4b99-a4b5-a86b44d19c35","2022-08-17 10:21:55","Sano, vigoroso","2022-08-17T14:21:55.000Z","DfM0zpZ71DhlzMJsuaoa","{""seconds"":1660746115,""nanoseconds"":4000000}",,,,,,,,,,,,,,,,,,,,,,,,,,
"Arb 13","durazno",-17.52609066935337,"0cCCYb13rE3qH5BaPScr","colegio","Prunus persica","vivo",-65.96638329327106,"[{""id"":""1FS9uByGvZ957DCoIlpF"",""timestamp"":{""seconds"":1660746217,""nanoseconds"":431000000}},{""id"":""L4PVjxHl9MbqHijJfZP9"",""timestamp"":{""seconds"":1675473768,""nanoseconds"":289000000}}]","bt6BSKmpeFndVvUkhfY9",1.4,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_102216_7228418179658421931.jpg?alt=media&token=01e80936-da6a-46a3-a6f6-130542dbeb71","2022-08-17 10:23:37","Sano, vigoroso","2022-08-17T14:23:37.000Z","1FS9uByGvZ957DCoIlpF","{""seconds"":1660746217,""nanoseconds"":431000000}","L4PVjxHl9MbqHijJfZP9","{""seconds"":1675473768,""nanoseconds"":289000000}",,,,,,,,,,,,,,,,,,,,,,,,
"Arb 14","gracias",-17.52609962130544,"LoXTfiaW01WErpn6sy8C","colegio","Prunus persica","vivo",-65.96644196659327,"[{""id"":""SXJbgWeot2jXBfJtgMDV"",""timestamp"":{""seconds"":1660746300,""nanoseconds"":778000000}}]","adY1va89rVkt2KL3XikE",1.2,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_102350_4842174227266943886.jpg?alt=media&token=72d0683f-0167-4dbc-acbc-fee968fb47e0","2022-08-17 10:25:00","Sano, vigoroso","2022-08-17T14:25:00.000Z","SXJbgWeot2jXBfJtgMDV","{""seconds"":1660746300,""nanoseconds"":778000000}",,,,,,,,,,,,,,,,,,,,,,,,,,
"Arb 15 ","durazno",-17.526105695844116,"cDyF8h0NHKJyWVGjmVOA","colegio","Prunus persica","vivo",-65.96648421138525,"[{""id"":""i6MyD7ESQEm7MsBvbCq7"",""timestamp"":{""seconds"":1660746363,""nanoseconds"":769000000}}]","tggbEwgVadQgSbUMHYj9",0.4,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_102509_8076694261363600094.jpg?alt=media&token=0aaf41db-28e0-4d87-8a42-950208f7588e","2022-08-17 10:26:03","Sano, vigoroso","2022-08-17T14:26:03.000Z","i6MyD7ESQEm7MsBvbCq7","{""seconds"":1660746363,""nanoseconds"":769000000}",,,,,,,,,,,,,,,,,,,,,,,,,,
"Arb 16","Limón",-17.52615141473382,"nEDwXMitBsaW7e7n61AM","colegio","Citrus limon","vivo",-65.96649494022131,"[{""id"":""5386Q9NeA1RCLB2VU3g4"",""timestamp"":{""seconds"":1660746438,""nanoseconds"":134000000}}]","P1FkhBuyQ15l2kglCLNd",0.3,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_102612_2122295582392042335.jpg?alt=media&token=db4d33ae-816c-4814-9fb6-6d3f4dd18494","2022-08-17 10:27:18","estrés hídrico ","2022-08-17T14:27:18.000Z","5386Q9NeA1RCLB2VU3g4","{""seconds"":1660746438,""nanoseconds"":134000000}",,,,,,,,,,,,,,,,,,,,,,,,,,
"Arb 17 ","Limón",-17.526159727257994,"wup7qjXowv9O686XS9aJ","colegio","Citrus limon","vivo",-65.96653182059526,"[{""id"":""fTtE8jqDsqVo7GAzQ2V1"",""timestamp"":{""seconds"":1660746545,""nanoseconds"":571000000}}]","JGmmw6OMJyw9mgY0QtxE",1.4,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220817_102805_8191607934321670144.jpg?alt=media&token=aac9493f-9e3e-4d7e-a3c2-514b170578f0","2022-08-17 10:29:05","Sano, vigoroso","2022-08-17T14:29:05.000Z","fTtE8jqDsqVo7GAzQ2V1","{""seconds"":1660746545,""nanoseconds"":571000000}",,,,,,,,,,,,,,,,,,,,,,,,,,
"Acacia","Acacia",-17.37564625327904,"Jfuvx37MANHjpJkDJ3qC","Maceta ","","vivo",-66.17857988923788,"[{""id"":""xqRu2mddwj771kPOMXOh"",""timestamp"":{""seconds"":1661103543,""nanoseconds"":645000000}},{""id"":""3gfS3PCdAgpmTryJzmrX"",""timestamp"":{""seconds"":1661357453,""nanoseconds"":850000000}},{""id"":""yFAQEvrgI2mEHNYl1B90"",""timestamp"":{""seconds"":1661617380,""nanoseconds"":596000000}},{""id"":""WsIOqoe6WRrvyP0VMTPN"",""timestamp"":{""seconds"":1661909887,""nanoseconds"":391000000}},{""id"":""lLtuvnIUAK7ESxvzbwoC"",""timestamp"":{""seconds"":1662144272,""nanoseconds"":31000000}},{""id"":""sUbVp5cQUgBIGJqHrMgn"",""timestamp"":{""seconds"":1662402124,""nanoseconds"":133000000}},{""id"":""GP6QfytnmO0STIlXlbdb"",""timestamp"":{""seconds"":1662654442,""nanoseconds"":547000000}},{""id"":""8NXkCzl5o58lyiKh4snF"",""timestamp"":{""seconds"":1663527717,""nanoseconds"":179000000}},{""id"":""kah2rLjRGXdL8k9EMwbz"",""timestamp"":{""seconds"":1663948846,""nanoseconds"":402000000}},{""id"":""G6jC5eAkX4FP416PHWQz"",""timestamp"":{""seconds"":1664208761,""nanoseconds"":172000000}},{""id"":""UMmOapaBZaoK7YsTRhjh"",""timestamp"":{""seconds"":1665878879,""nanoseconds"":511000000}},{""id"":""bWsrGS7jhzycfKGB2a33"",""timestamp"":{""seconds"":1666975333,""nanoseconds"":48000000}},{""id"":""hu15FLut5EFE7ae0izAP"",""timestamp"":{""seconds"":1667233037,""nanoseconds"":6000000}},{""id"":""AmzQV1Vrcyf7VXh9VDHL"",""timestamp"":{""seconds"":1674505548,""nanoseconds"":791000000}}]","vYkvXe8eTIXTaOyr7IWs",0.3,"https://firebasestorage.googleapis.com/v0/b/arbu-c574d.appspot.com/o/imagenesArbolesPlantados%2FJPEG_20220821_133710_2523305922848966552.jpg?alt=media&token=b6cdd878-1570-4304-9c28-d209538dec53","2022-08-21 13:39:03","Sano, vigoroso","2022-08-21T17:39:03.000Z","xqRu2mddwj771kPOMXOh","{""seconds"":1661103543,""nanoseconds"":645000000}","3gfS3PCdAgpmTryJzmrX","{""seconds"":1661357453,""nanoseconds"":850000000}","yFAQEvrgI2mEHNYl1B90","{""seconds"":1661617380,""nanoseconds"":596000000}","WsIOqoe6WRrvyP0VMTPN","{""seconds"":1661909887,""nanoseconds"":391000000}","lLtuvnIUAK7ESxvzbwoC","{""seconds"":1662144272,""nanoseconds"":31000000}","sUbVp5cQUgBIGJqHrMgn","{""seconds"":1662402124,""nanoseconds"":133000000}","GP6QfytnmO0STIlXlbdb","{""seconds"":1662654442,""nanoseconds"":547000000}","8NXkCzl5o58lyiKh4snF","{""seconds"":1663527717,""nanoseconds"":179000000}","kah2rLjRGXdL8k9EMwbz","{""seconds"":1663948846,""nanoseconds"":402000000}","G6jC5eAkX4FP416PHWQz","{""seconds"":1664208761,""nanoseconds"":172000000}","UMmOapaBZaoK7YsTRhjh","{""seconds"":1665878879,""nanoseconds"":511000000}","bWsrGS7jhzycfKGB2a33","{""seconds"":1666975333,""nanoseconds"":48000000}","hu15FLut5EFE7ae0izAP","{""seconds"":1667233037,""nanoseconds"":6000000}","AmzQV1Vrcyf7VXh9VDHL","{""seconds"":1674505548,""nanoseconds"":791000000}"
